Orthogroup,overlaps,acidithiobacillus_ferrooxidans,acidithiobacillus_thiooxidans,burkholderia_pseudomallei,e_coli,l_ferriphilum.gbk,leptospirillum_ferrooxidans,pseudomonas_aeruginosa_pao1,s_maltophilia,shewanella_oneidensis,MEGAHIT-AR1_L2.36,MEGAHIT-AR2_L2.57,MEGAHIT-AR3_L2.6,MEGAHIT-AR4_L2.41,acidihalobacter_aeolianus,acidihalobacter_ferrooxydans,acidihalobacter_prosperus,acidihalobacter_yilgarnensis,acidithiobacillus_ferrooxidans_counts,acidithiobacillus_thiooxidans_counts,burkholderia_pseudomallei_counts,e_coli_counts,l_ferriphilum.gbk_counts,leptospirillum_ferrooxidans_counts,pseudomonas_aeruginosa_pao1_counts,s_maltophilia_counts,shewanella_oneidensis_counts,MEGAHIT-AR1_L2.36_counts,MEGAHIT-AR2_L2.57_counts,MEGAHIT-AR3_L2.6_counts,MEGAHIT-AR4_L2.41_counts,acidihalobacter_aeolianus_counts,acidihalobacter_ferrooxydans_counts,acidihalobacter_prosperus_counts,acidihalobacter_yilgarnensis_counts
OG0000076,1,,,,,,,,,WP_011072707.1,IEKBFFFE_02641,OIDPMNJM_03676,LNLMDAFO_03166,KPCADNOF_00350,"AOV15786.1, AOV17162.1",,"OBS09464.1, OBS10520.1","AOU97670.1, AOU99322.1",0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,2,2
OG0000077,1,WP_012537078.1,,,,,,,,,"IEKBFFFE_00850, IEKBFFFE_01551, IEKBFFFE_01558","OIDPMNJM_01427, OIDPMNJM_04702, OIDPMNJM_04709","LNLMDAFO_00529, LNLMDAFO_01387, LNLMDAFO_01394",,"AOV17711.1, AOV18563.1, AOV18791.1","APZ42638.1, APZ43459.1, APZ43530.1","OBS08613.1, OBS08890.1, OBS09342.1","AOU97242.1, AOU97473.1",1,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,2
OG0000079,1,,,,,,,,,WP_011071177.1,"IEKBFFFE_01571, IEKBFFFE_02711","OIDPMNJM_00537, OIDPMNJM_00740","LNLMDAFO_00027, LNLMDAFO_02961",,"AOV16104.1, AOV16118.1, AOV18018.1, AOV18381.1","APZ42032.1, APZ43274.1, APZ43741.1","OBS07936.1, OBS07952.1, OBS08031.1",AOU96998.1,0,0,0,0,0,0,0,0,1,2,2,2,0,4,3,3,1
OG0000081,1,,,,,,,,,WP_011073353.1,"IEKBFFFE_02760, IEKBFFFE_02994","OIDPMNJM_00764, OIDPMNJM_01904","LNLMDAFO_00305, LNLMDAFO_02584","KPCADNOF_00223, KPCADNOF_00878, KPCADNOF_02910","AOV15930.1, AOV17881.1","APZ41957.1, APZ42897.1","OBS09033.1, OBS09309.1","AOU98978.1, AOU99178.1",0,0,0,0,0,0,0,0,1,2,2,2,3,2,2,2,2
OG0000082,1,,,,,,,,,WP_011072028.1,"IEKBFFFE_00138, IEKBFFFE_00949, IEKBFFFE_02144, IEKBFFFE_02145","OIDPMNJM_01093, OIDPMNJM_01465, OIDPMNJM_02652","LNLMDAFO_00757, LNLMDAFO_02303",KPCADNOF_00474,"AOV16933.1, AOV17270.1",APZ42677.1,"OBS10397.1, OBS10722.1, OBS10849.1","AOU97569.1, AOU98035.1, AOU98134.1",0,0,0,0,0,0,0,0,1,4,3,2,1,2,1,3,3
OG0000086,1,,,,,,,NP_252471.1,,,IEKBFFFE_01769,OIDPMNJM_02528,LNLMDAFO_01629,"KPCADNOF_00917, KPCADNOF_01761, KPCADNOF_02639",AOV15958.1,,OBS09281.1,"AOU99320.1, AOU99805.1",0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,1,2
OG0000089,2,,,,,,,,,"WP_011070862.1, WP_011074195.1",,OIDPMNJM_03485,,,AOV17004.1,,,"AOU98836.1, AOU98847.1",0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2
OG0000090,2,,,,,,WP_014450467.1,,,WP_011073398.1,"IEKBFFFE_00120, IEKBFFFE_00167","OIDPMNJM_01825, OIDPMNJM_03406","LNLMDAFO_01303, LNLMDAFO_02796",KPCADNOF_03182,"AOV16955.1, AOV17874.1","APZ43404.1, APZ43653.1","OBS09027.1, OBS10751.1","AOU98104.1, AOU98970.1",0,0,0,0,0,1,0,0,1,2,2,2,1,2,2,2,2
OG0000091,2,WP_012537546.1,,,WP_000623140.1,,,,,,"IEKBFFFE_00296, IEKBFFFE_00924, IEKBFFFE_03296, IEKBFFFE_03299","OIDPMNJM_00231, OIDPMNJM_00463, OIDPMNJM_02348, OIDPMNJM_04609, OIDPMNJM_04612, OIDPMNJM_05279","LNLMDAFO_00626, LNLMDAFO_02342, LNLMDAFO_02345, LNLMDAFO_02893",KPCADNOF_01446,AOV17956.1,"APZ42182.1, APZ43946.1","OBS09119.1, OBS09122.1","AOU99040.1, AOU99780.1",1,0,0,1,0,0,0,0,0,4,6,4,1,1,2,2,2
OG0000092,2,,,,,,,,,"WP_011070783.1, WP_011072031.1","IEKBFFFE_00423, IEKBFFFE_00819","OIDPMNJM_00020, OIDPMNJM_02426","LNLMDAFO_00388, LNLMDAFO_02254","KPCADNOF_01187, KPCADNOF_01366, KPCADNOF_01644","AOV15689.1, AOV17702.1","APZ42443.1, APZ43802.1, APZ44341.1","OBS08382.1, OBS08626.1","AOU96655.1, AOU97252.1",0,0,0,0,0,0,0,0,2,2,2,2,3,2,3,2,2
OG0000100,1,WP_012536229.1,,,,,,,,,IEKBFFFE_01365,OIDPMNJM_01417,LNLMDAFO_01846,"KPCADNOF_00320, KPCADNOF_00594, KPCADNOF_00607, KPCADNOF_01499, KPCADNOF_02512",AOV16300.1,,OBS08519.1,AOU97160.1,1,0,0,0,0,0,0,0,0,1,1,1,5,1,0,1,1
OG0000101,1,,WP_010640536.1,,,,,,,,IEKBFFFE_02775,OIDPMNJM_04351,LNLMDAFO_00290,"KPCADNOF_00039, KPCADNOF_01722, KPCADNOF_02678, KPCADNOF_03547, KPCADNOF_03591",AOV17896.1,APZ43715.1,OBS09049.1,AOU98992.1,0,1,0,0,0,0,0,0,0,1,1,1,5,1,1,1,1
OG0000104,1,,,,,,,,,WP_011072442.1,IEKBFFFE_01379,"OIDPMNJM_01239, OIDPMNJM_03793, OIDPMNJM_03798",LNLMDAFO_02014,KPCADNOF_01434,AOV16736.1,APZ43227.1,OBS11031.1,AOU98360.1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1
OG0000109,8,,,,,"LFTS_00529, LFTS_00530, LFTS_00531, LFTS_01298, LFTS_01310",,"NP_249396.1, NP_249705.1, NP_253687.1",,,,OIDPMNJM_02432,,KPCADNOF_02291,,"APZ43478.1, APZ43814.1",,,0,0,0,0,5,0,3,0,0,0,1,0,1,0,2,0,0
OG0000120,1,,,,,,,,,WP_011071339.1,"IEKBFFFE_00906, IEKBFFFE_02835","OIDPMNJM_02961, OIDPMNJM_03152, OIDPMNJM_04264","LNLMDAFO_00726, LNLMDAFO_00806","KPCADNOF_00838, KPCADNOF_01725",AOV17359.1,APZ43597.1,OBS10296.1,AOU97497.1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,1,1,1
OG0000121,1,,,,,,,,,WP_011070448.1,"IEKBFFFE_01026, IEKBFFFE_02753","OIDPMNJM_01911, OIDPMNJM_03209, OIDPMNJM_04548","LNLMDAFO_00312, LNLMDAFO_02504",KPCADNOF_01763,"AOV17876.1, AOV18197.1","APZ42903.1, APZ44377.1",OBS08275.1,"AOU96725.1, AOU98972.1",0,0,0,0,0,0,0,0,1,2,3,2,1,2,2,1,2
OG0000122,1,WP_012607166.1,,,,,,,,,"IEKBFFFE_01133, IEKBFFFE_01134, IEKBFFFE_03055","OIDPMNJM_00998, OIDPMNJM_03459, OIDPMNJM_04996","LNLMDAFO_01473, LNLMDAFO_03294, LNLMDAFO_03295","KPCADNOF_00500, KPCADNOF_01627",AOV17175.1,APZ42907.1,OBS10983.1,AOU97857.1,1,0,0,0,0,0,0,0,0,3,3,3,2,1,1,1,1
OG0000123,1,WP_229129809.1,,,,,,,,,"IEKBFFFE_02714, IEKBFFFE_03198, IEKBFFFE_03741","OIDPMNJM_02315, OIDPMNJM_04149","LNLMDAFO_00950, LNLMDAFO_03099","KPCADNOF_00750, KPCADNOF_01890",,APZ43837.1,"OBS08927.1, OBS09006.1, OBS10062.1","AOU98739.1, AOU99610.1",1,0,0,0,0,0,0,0,0,3,2,2,2,0,1,3,2
OG0000126,1,,,,,,WP_014450579.1,,,,IEKBFFFE_00188,OIDPMNJM_00851,LNLMDAFO_01914,,"AOV17710.1, AOV17784.1",APZ44527.1,"OBS08615.1, OBS10606.1",AOU97243.1,0,0,0,0,0,1,0,0,0,1,1,1,0,2,1,2,1
OG0000135,3,,,,,"LFTS_00551, LFTS_01814",,NP_250921.1,,,"IEKBFFFE_01302, IEKBFFFE_01383, IEKBFFFE_01913","OIDPMNJM_01243, OIDPMNJM_02666, OIDPMNJM_03649, OIDPMNJM_04664, OIDPMNJM_04778","LNLMDAFO_00965, LNLMDAFO_02010, LNLMDAFO_02532",,"AOV16842.1, AOV17565.1",APZ42833.1,OBS09985.1,"AOU97351.1, AOU98644.1",0,0,0,0,2,0,1,0,0,3,5,3,0,2,1,1,2
OG0000136,1,,,,,,,,,WP_011073460.1,IEKBFFFE_01432,"OIDPMNJM_02361, OIDPMNJM_03129",LNLMDAFO_02188,"KPCADNOF_00908, KPCADNOF_01770, KPCADNOF_02027, KPCADNOF_02028, KPCADNOF_02371, KPCADNOF_03187, KPCADNOF_03342",,APZ42191.1,,,0,0,0,0,0,0,0,0,1,1,2,1,7,0,1,0,0
OG0000139,1,WP_012537092.1,,,,,,,,,IEKBFFFE_01966,OIDPMNJM_00890,LNLMDAFO_01173,KPCADNOF_01501,"AOV16097.1, AOV16540.1, AOV17665.1","APZ41937.1, APZ42021.1","OBS07964.1, OBS08667.1, OBS08793.1","AOU96981.1, AOU97366.1, AOU99237.1, AOU99618.1",1,0,0,0,0,0,0,0,0,1,1,1,1,3,2,3,4
OG0000141,2,WP_012537576.1,,,,,,,,WP_011072025.1,"IEKBFFFE_02953, IEKBFFFE_03313","OIDPMNJM_02209, OIDPMNJM_04626","LNLMDAFO_01270, LNLMDAFO_02359","KPCADNOF_01613, KPCADNOF_02267",AOV16700.1,"APZ43600.1, APZ43640.1",OBS09738.1,AOU98395.1,1,0,0,0,0,0,0,0,1,2,2,2,2,1,2,1,1
OG0000149,2,,,,,,,,,"WP_011071237.1, WP_011072695.1","IEKBFFFE_01408, IEKBFFFE_01440","OIDPMNJM_00276, OIDPMNJM_02369","LNLMDAFO_00674, LNLMDAFO_02196",KPCADNOF_02795,AOV15714.1,"APZ43578.1, APZ44100.1",OBS09699.1,"AOU97444.1, AOU97823.1",0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,1,2
OG0000152,1,,,,,,,,,WP_011071986.1,IEKBFFFE_03094,"OIDPMNJM_00137, OIDPMNJM_01037",LNLMDAFO_01512,KPCADNOF_03111,"AOV16251.1, AOV17518.1","APZ42850.1, APZ43905.1","OBS08454.1, OBS09922.1","AOU97107.1, AOU98587.1",0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,2
OG0000153,1,,,,,,,,,WP_011073476.1,"IEKBFFFE_03171, IEKBFFFE_03186","OIDPMNJM_04122, OIDPMNJM_04137","LNLMDAFO_03072, LNLMDAFO_03087","KPCADNOF_00586, KPCADNOF_02280, KPCADNOF_03515",AOV17149.1,APZ43682.1,OBS10533.1,AOU97682.1,0,0,0,0,0,0,0,0,1,2,2,2,3,1,1,1,1
OG0000155,1,,,,,,,,,WP_011070604.1,"IEKBFFFE_03481, IEKBFFFE_03547","OIDPMNJM_02239, OIDPMNJM_04204, OIDPMNJM_05216","LNLMDAFO_02072, LNLMDAFO_02258",,"AOV17601.1, AOV17612.1","APZ44087.1, APZ44099.1","OBS07851.1, OBS10036.1","AOU98706.1, AOU98718.1",0,0,0,0,0,0,0,0,1,2,3,2,0,2,2,2,2
OG0000157,1,,,,,,,,,WP_164925720.1,"IEKBFFFE_00117, IEKBFFFE_01638","OIDPMNJM_02514, OIDPMNJM_03614","LNLMDAFO_00051, LNLMDAFO_02712",KPCADNOF_02337,"AOV15855.1, AOV16291.1","APZ41744.1, APZ41895.1","OBS08509.1, OBS09401.1","AOU97152.1, AOU99819.1",0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,2
OG0000163,3,,,,,"LFTS_00566, LFTS_00572, LFTS_01526",,,,,IEKBFFFE_00848,OIDPMNJM_01429,LNLMDAFO_00527,"KPCADNOF_01535, KPCADNOF_02828, KPCADNOF_03452",AOV17385.1,"APZ43532.1, APZ44646.1",OBS08888.1,AOU97471.1,0,0,0,0,3,0,0,0,0,1,1,1,3,1,2,1,1
OG0000166,1,,,,,,,,,WP_011074002.1,IEKBFFFE_01672,OIDPMNJM_04425,LNLMDAFO_01654,KPCADNOF_03857,"AOV16511.1, AOV17018.1",APZ44738.1,OBS08754.1,AOU97333.1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1
OG0000172,1,WP_009560822.1,,,,,,,,,"IEKBFFFE_00169, IEKBFFFE_01054","OIDPMNJM_01136, OIDPMNJM_03735","LNLMDAFO_01827, LNLMDAFO_03182",,"AOV17619.1, AOV18027.1",APZ44055.1,"OBS08040.1, OBS10045.1","AOU96911.1, AOU99720.1",1,0,0,0,0,0,0,0,0,2,2,2,0,2,1,2,2
OG0000177,1,,,,,,,,,WP_011074260.1,"IEKBFFFE_00834, IEKBFFFE_00979","OIDPMNJM_00075, OIDPMNJM_02412","LNLMDAFO_01465, LNLMDAFO_02239",KPCADNOF_00154,"AOV15692.1, AOV18360.1","APZ44237.1, APZ44453.1","OBS08378.1, OBS09210.1",AOU99428.1,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,1
OG0000181,1,,,,,,,,,WP_011070947.1,IEKBFFFE_01546,OIDPMNJM_04714,LNLMDAFO_01399,"KPCADNOF_00187, KPCADNOF_01414, KPCADNOF_01508, KPCADNOF_02707, KPCADNOF_03705",AOV17706.1,APZ42266.1,OBS08619.1,AOU97247.1,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,1
OG0000185,2,,,,,,,,,"WP_011071912.1, WP_011073582.1","IEKBFFFE_02177, IEKBFFFE_02840","OIDPMNJM_02903, OIDPMNJM_02966",LNLMDAFO_00811,"KPCADNOF_00657, KPCADNOF_00749",AOV17355.1,"APZ42338.1, APZ44354.1",OBS10301.1,AOU97502.1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,1,1
OG0000186,1,,,,,,,,,WP_011073827.1,IEKBFFFE_02186,"OIDPMNJM_01631, OIDPMNJM_04669",LNLMDAFO_00370,"KPCADNOF_01804, KPCADNOF_02768, KPCADNOF_03567","AOV16603.1, AOV17250.1",APZ42381.1,"OBS09858.1, OBS10420.1","AOU97587.1, AOU98497.1",0,0,0,0,0,0,0,0,1,1,2,1,3,2,1,2,2
OG0000187,2,,,,,LFTS_01528,,NP_252230.1,,,IEKBFFFE_03115,OIDPMNJM_04916,LNLMDAFO_00141,,"AOV17141.1, AOV17142.1, AOV18595.1",APZ42055.1,"OBS10037.1, OBS10540.1, OBS10542.1","AOU97689.1, AOU97691.1, AOU98719.1",0,0,0,0,1,0,1,0,0,1,1,1,0,3,1,3,3
OG0000192,1,,,,,,,,,WP_011073761.1,,,,,AOV17484.1,,OBS09884.1,AOU98551.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
OG0000194,1,,,,,,,,WP_012478995.1,,"IEKBFFFE_00127, IEKBFFFE_00531, IEKBFFFE_00816, IEKBFFFE_01367, IEKBFFFE_01899, IEKBFFFE_02110, IEKBFFFE_03459","OIDPMNJM_00794, OIDPMNJM_01104, OIDPMNJM_01419, OIDPMNJM_02075, OIDPMNJM_03638, OIDPMNJM_04862, OIDPMNJM_05124","LNLMDAFO_00385, LNLMDAFO_00746, LNLMDAFO_01720, LNLMDAFO_01735, LNLMDAFO_01848, LNLMDAFO_02257",,,,,,0,0,0,0,0,0,0,1,0,7,7,6,0,0,0,0,0
OG0000197,1,,,,,,,,,WP_011072456.1,"IEKBFFFE_01858, IEKBFFFE_03182","OIDPMNJM_03714, OIDPMNJM_04133","LNLMDAFO_01252, LNLMDAFO_03083",KPCADNOF_03314,"AOV18085.1, AOV18492.1","APZ42323.1, APZ44270.1","OBS08118.1, OBS10529.1","AOU96850.1, AOU97678.1",0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,2
OG0000199,1,,,,,LFTS_01302,,,,,"IEKBFFFE_02391, IEKBFFFE_03720","OIDPMNJM_00309, OIDPMNJM_05044","LNLMDAFO_00249, LNLMDAFO_01127",,"AOV16974.1, AOV18389.1","APZ43077.1, APZ43807.1","OBS09612.1, OBS10826.1","AOU97057.1, AOU98064.1",0,0,0,0,1,0,0,0,0,2,2,2,0,2,2,2,2
OG0000200,1,,,,,,,,WP_005411591.1,,IEKBFFFE_02407,OIDPMNJM_01982,LNLMDAFO_02989,"KPCADNOF_00774, KPCADNOF_02486",AOV17801.1,APZ44223.1,OBS10243.1,AOU98934.1,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1,1
OG0000203,1,,,,WP_000090097.1,,,,,,IEKBFFFE_02625,"OIDPMNJM_03240, OIDPMNJM_03427",LNLMDAFO_02817,KPCADNOF_03287,AOV17855.1,APZ43378.1,OBS09007.1,AOU98955.1,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,1
OG0000205,1,,,,,,,,,WP_006081127.1,IEKBFFFE_02853,OIDPMNJM_02979,LNLMDAFO_00824,"KPCADNOF_01657, KPCADNOF_01777",AOV17347.1,APZ43585.1,OBS10309.1,AOU97507.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000206,2,,,,,,,,,"WP_011071048.1, WP_011072047.1",IEKBFFFE_03052,OIDPMNJM_00710,LNLMDAFO_02021,KPCADNOF_03645,"AOV15906.1, AOV18384.1",APZ44185.1,"OBS09329.1, OBS09653.1, OBS10099.1","AOU97021.1, AOU98776.1, AOU99810.1",0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,3,3
OG0000208,1,,,,,,,,WP_012478771.1,,IEKBFFFE_03526,OIDPMNJM_04651,LNLMDAFO_02384,"KPCADNOF_00293, KPCADNOF_00637, KPCADNOF_03106","AOV16834.1, AOV17449.1","APZ42972.1, APZ44549.1",,,0,0,0,0,0,0,0,1,0,1,1,1,3,2,2,0,0
OG0000209,1,,,,,,,,,WP_011073744.1,IEKBFFFE_03580,OIDPMNJM_05249,LNLMDAFO_02105,KPCADNOF_02447,"AOV17572.1, AOV18848.1","APZ42611.1, APZ44058.1","OBS09004.1, OBS10004.1","AOU97789.1, AOU98675.1",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2
OG0000210,3,,,,,,,,,"WP_011073389.1, WP_011074151.1, WP_011074152.1",,,,"KPCADNOF_02399, KPCADNOF_02632",AOV15961.1,,OBS09273.1,AOU99149.1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,1
OG0000212,1,,,WP_004553392.1,,,,,,,IEKBFFFE_00064,OIDPMNJM_02461,LNLMDAFO_02659,,,"APZ43796.1, APZ43949.1",,,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0
OG0000213,2,,,,,,,,,"WP_011073650.1, WP_011073979.1",IEKBFFFE_00176,"OIDPMNJM_01129, OIDPMNJM_02846",LNLMDAFO_03189,KPCADNOF_00468,AOV18236.1,APZ42128.1,OBS08333.1,AOU96688.1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1
OG0000214,1,WP_012536138.1,,,,,,,,,IEKBFFFE_00898,OIDPMNJM_05195,LNLMDAFO_00935,"KPCADNOF_00460, KPCADNOF_00759, KPCADNOF_01771",AOV17792.1,"APZ42795.1, APZ43279.1","OBS08600.1, OBS10230.1","AOU97230.1, AOU98919.1",1,0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,2
OG0000216,3,,,WP_004553779.1,,LFTS_00770,,NP_250922.1,,,IEKBFFFE_01395,OIDPMNJM_01255,LNLMDAFO_01998,"KPCADNOF_00047, KPCADNOF_01282, KPCADNOF_02410, KPCADNOF_03664","AOV17476.1, AOV17555.1",APZ42309.1,OBS09969.1,,0,0,1,0,1,0,1,0,0,1,1,1,4,2,1,1,0
OG0000221,3,,,,WP_001295325.1,,WP_014448948.1,NP_250494.1,,,IEKBFFFE_02852,"OIDPMNJM_01186, OIDPMNJM_02978, OIDPMNJM_04953",LNLMDAFO_00823,"KPCADNOF_00830, KPCADNOF_02931, KPCADNOF_03688",AOV17348.1,APZ43586.1,OBS10308.1,AOU97506.1,0,0,0,1,0,1,1,0,0,1,3,1,3,1,1,1,1
OG0000222,1,,,,,,,,,WP_011071489.1,IEKBFFFE_03233,OIDPMNJM_02751,LNLMDAFO_02749,KPCADNOF_00347,AOV17420.1,"APZ41910.1, APZ44459.1",OBS08849.1,AOU97417.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1
OG0000227,1,,,,,,,,,WP_011073093.1,IEKBFFFE_00334,OIDPMNJM_02165,LNLMDAFO_02931,KPCADNOF_02980,"AOV16647.1, AOV18448.1",APZ43012.1,"OBS09801.1, OBS09875.1",AOU98543.1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1
OG0000237,3,,,,WP_000079739.1,,,,,"WP_011073121.1, WP_011073122.1",IEKBFFFE_02282,OIDPMNJM_01724,LNLMDAFO_00563,,AOV16623.1,APZ42995.1,OBS09835.1,AOU98481.1,0,0,0,1,0,0,0,0,2,1,1,1,0,1,1,1,1
OG0000238,1,,,,,,,,,WP_011073314.1,IEKBFFFE_02302,OIDPMNJM_01744,LNLMDAFO_00583,"KPCADNOF_00883, KPCADNOF_03733",AOV16475.1,APZ42085.1,OBS08708.1,AOU97295.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000239,1,,,,,,,,,WP_011071138.1,IEKBFFFE_02410,OIDPMNJM_01985,LNLMDAFO_02986,"KPCADNOF_00294, KPCADNOF_00295, KPCADNOF_00924, KPCADNOF_02845, KPCADNOF_03493","AOV17394.1, AOV18170.1","APZ42886.1, APZ43098.1","OBS08246.1, OBS08877.1",AOU96745.1,0,0,0,0,0,0,0,0,1,1,1,1,5,2,2,2,1
OG0000246,5,,,WP_004553776.1,,"LFTS_01809, LFTS_01811, LFTS_01816",,NP_250929.1,,,IEKBFFFE_03677,,,KPCADNOF_02685,AOV18574.1,,"OBS09987.1, OBS09992.1",AOU98990.1,0,0,1,0,3,0,1,0,0,1,0,0,1,1,0,2,1
OG0000247,3,,,,,"LFTS_00545, LFTS_00548, LFTS_01316",,,,,IEKBFFFE_03723,"OIDPMNJM_01657, OIDPMNJM_03218, OIDPMNJM_05047",LNLMDAFO_00252,,AOV16182.1,,OBS09615.1,AOU97054.1,0,0,0,0,3,0,0,0,0,1,3,1,0,1,0,1,1
OG0000257,1,,,,,,,,,WP_011070722.1,IEKBFFFE_00799,OIDPMNJM_05093,LNLMDAFO_03228,KPCADNOF_03621,AOV18230.1,APZ41735.1,OBS08326.1,AOU99435.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000258,4,,,,WP_000718995.1,"LFTS_00121, LFTS_00537",,,,WP_011071816.1,IEKBFFFE_00890,OIDPMNJM_02262,LNLMDAFO_01618,,AOV17195.1,APZ43521.1,OBS10484.1,AOU97638.1,0,0,0,1,2,0,0,0,1,1,1,1,0,1,1,1,1
OG0000260,2,,,,,,,,,"WP_011070614.1, WP_011071132.1",IEKBFFFE_01179,OIDPMNJM_02227,LNLMDAFO_02053,"KPCADNOF_00270, KPCADNOF_02681",AOV17602.1,APZ44088.1,OBS07839.1,AOU98707.1,0,0,0,0,0,0,0,0,2,1,1,1,2,1,1,1,1
OG0000261,1,,,,,,,,,WP_011073296.1,"IEKBFFFE_01224, IEKBFFFE_03181","OIDPMNJM_03365, OIDPMNJM_04132","LNLMDAFO_01693, LNLMDAFO_03082",KPCADNOF_02152,"AOV16811.1, AOV16889.1","APZ42322.1, APZ43302.1",OBS10661.1,AOU98201.1,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,1,1
OG0000265,1,,,,,,,,,WP_011073318.1,"IEKBFFFE_01983, IEKBFFFE_02298","OIDPMNJM_00873, OIDPMNJM_01740","LNLMDAFO_00579, LNLMDAFO_01190",KPCADNOF_02922,AOV16472.1,APZ42083.1,OBS08704.1,AOU97292.1,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1
OG0000266,1,,,,,,,,,WP_011070542.1,IEKBFFFE_02189,OIDPMNJM_01634,LNLMDAFO_00373,KPCADNOF_03880,"AOV16476.1, AOV17253.1",APZ42379.1,"OBS08710.1, OBS10417.1","AOU97298.1, AOU99591.1",0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2
OG0000269,1,,,,,,,,,WP_011072035.1,IEKBFFFE_02871,"OIDPMNJM_00600, OIDPMNJM_02997",LNLMDAFO_00842,"KPCADNOF_02216, KPCADNOF_02223, KPCADNOF_02657",AOV18554.1,APZ42229.1,OBS10326.1,AOU97522.1,0,0,0,0,0,0,0,0,1,1,2,1,3,1,1,1,1
OG0000270,1,,,,,,,,,WP_011070766.1,IEKBFFFE_03047,OIDPMNJM_00715,LNLMDAFO_02026,"KPCADNOF_00628, KPCADNOF_01546",AOV16148.1,APZ44245.1,"OBS08596.1, OBS09659.1","AOU97225.1, AOU99485.1",0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,2,2
OG0000271,1,WP_012537437.1,,,,,,,,,IEKBFFFE_03161,"OIDPMNJM_03886, OIDPMNJM_03887, OIDPMNJM_04112",LNLMDAFO_03062,,AOV17163.1,"APZ43691.1, APZ43995.1",OBS10517.1,AOU97667.1,1,0,0,0,0,0,0,0,0,1,3,1,0,1,2,1,1
OG0000274,4,,,,,,,,,"WP_011071943.1, WP_011072403.1, WP_011072436.1, WP_011072815.1",IEKBFFFE_00020,,,,,,,,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
OG0000275,1,,,,,,,,,WP_011072812.1,IEKBFFFE_00151,OIDPMNJM_01080,LNLMDAFO_00770,"KPCADNOF_02793, KPCADNOF_03043",AOV17259.1,APZ43310.1,OBS10410.1,AOU97580.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000279,1,,,,,,,,,WP_011073088.1,IEKBFFFE_00328,OIDPMNJM_02159,LNLMDAFO_02925,"KPCADNOF_00343, KPCADNOF_02982","AOV16591.1, AOV16651.1",,"OBS09795.1, OBS09873.1","AOU98447.1, AOU98541.1",0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,2,2
OG0000283,1,WP_009562611.1,,,,,,,,,IEKBFFFE_01034,OIDPMNJM_04540,LNLMDAFO_02512,"KPCADNOF_00632, KPCADNOF_01263, KPCADNOF_01482",AOV18204.1,APZ44359.1,OBS08283.1,AOU96718.1,1,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1
OG0000287,1,,,,,,,,,WP_011073258.1,IEKBFFFE_01832,OIDPMNJM_00833,LNLMDAFO_01442,,AOV16275.1,,OBS08480.1,AOU99502.1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
OG0000293,2,,,,,,,,WP_005414333.1,WP_011072334.1,IEKBFFFE_01856,OIDPMNJM_03716,LNLMDAFO_01250,KPCADNOF_01766,"AOV18087.1, AOV18498.1",APZ44272.1,OBS08120.1,AOU96849.1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1
